,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln
0,benchmark://mm64_256_16_range-v0/mm64_144_160,28.182409286499023,,,benchmark://mm64_256_16_range-v0/mm64_144_160,0.761847734451294,3.2013957500457764,3.201409339904785,benchmark://mm64_256_16_range-v0/mm64_144_160,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_176,20.36544418334961,,,benchmark://mm64_256_16_range-v0/mm64_144_176,0.8850946426391602,3.201382875442505,3.2013978958129883,benchmark://mm64_256_16_range-v0/mm64_144_176,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_192,20.127878189086914,,,benchmark://mm64_256_16_range-v0/mm64_144_192,0.6451799869537354,3.201418161392212,3.2014007568359375,benchmark://mm64_256_16_range-v0/mm64_144_192,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_208,22.803468704223633,,,benchmark://mm64_256_16_range-v0/mm64_144_208,0.599606990814209,3.201451301574707,3.2013912200927734,benchmark://mm64_256_16_range-v0/mm64_144_208,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_224,20.11217498779297,,,benchmark://mm64_256_16_range-v0/mm64_144_224,0.8015997409820557,3.1265969276428223,3.2014503479003906,benchmark://mm64_256_16_range-v0/mm64_144_224,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_240,24.190431594848633,,,benchmark://mm64_256_16_range-v0/mm64_144_240,0.5858137607574463,3.2013962268829346,3.201368808746338,benchmark://mm64_256_16_range-v0/mm64_144_240,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_256,19.61054801940918,20.189945220947266,,benchmark://mm64_256_16_range-v0/mm64_144_256,0.4789879322052002,2.5311992168426514,3.1173603534698486,benchmark://mm64_256_16_range-v0/mm64_144_256,,"['split_16', 'split_4', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_160_64,28.592744827270508,,,benchmark://mm64_256_16_range-v0/mm64_160_64,0.33002233505249023,3.2013864517211914,3.2014200687408447,benchmark://mm64_256_16_range-v0/mm64_160_64,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_160_80,20.857255935668945,21.154020309448242,,benchmark://mm64_256_16_range-v0/mm64_160_80,0.4976663589477539,2.636152982711792,3.2014145851135254,benchmark://mm64_256_16_range-v0/mm64_160_80,,"['split_16', 'split_4', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_160_96,28.67970848083496,,,benchmark://mm64_256_16_range-v0/mm64_160_96,0.36414408683776855,3.073274612426758,3.201374053955078,benchmark://mm64_256_16_range-v0/mm64_160_96,,failed,failed
